text,label
"유엔넷, 포스트그레SQL 성능 분석·장애 대응 솔루션 '타란튜너' 선봬",IT
"SKT 에이닷, 고객센터 통화 대기부터 일정 관리까지 AI가 돕는다",IT
"“AI 해킹 대응부터 DR까지”…국정자원, 정부 인프라 안정화 현장 논의",IT
"KT, 국가서비스대상 수상 기념 고객 이벤트 개최",IT
"하버드 석좌교수·인간게놈프로젝트 핵심 연구자, UST 특임교원 합류",IT
"SKT, AI 영상 합성 기술력 글로벌 무대에서도 인정",IT
"애플, 中 CXMT 메모리 수급 위해 美 백악관 로비전 '활활'…쇼티지 나비효과",IT
"월마트, 매장 직원 '안경사'로 키운다...왜",IT
"""그림자·반사까지 구현한다""…SKT, 'AI 영상 합성 기술' 해외 학회 논문 채택",IT
"SKT '고객센터 연결 대기, AI가 대신 맡는다'",IT
"SKT, 고객센터 통화 대기부터 일정 관리까지 AI가 돕는다",IT
"SKT 에이닷, AI 에이전트 기능 강화",IT
"대원제약, 부패방지·준법경영 시스템 통합 인증 획득",IT
"부산대, 전체 교원·학생에 구글 교육용 AI 서비스 제공",IT
[문화엔진] 부재(不在)가 제안하는 능동적 시간,IT
"강석연 식약평가원장 ""식약처, 기업과 함께 뛰는 입장 되겠다""",IT
"뉴로핏, 싱가포르 래플즈병원에 ‘뉴로핏 아쿠아’ 공급",IT
"LG화학, 변이 고형암 신약 후보물질 美FDA 임상 1·2상 승인",IT
"신세계I&C, 지속가능경영보고서 발간… AI 활용 원칙 포함",IT
"다쏘시스템, 파리상테 캠퍼스와 협력…유럽 헬스케어 스타트업 지원",IT
"우주서 본 '하지'…""낮과 밤 가르는 지구 경계선 뚜렷"" [우주서 본 지구]",IT
“AI 핑계로 D램 공급 줄였다”…삼성·SK하이닉스·마이크론 美서 집단소송,IT
"KT, '2026 ESG 보고서' 발간…2006년부터 20년째",IT
"""차기작 내부 설계까지 털렸다""…타타 해킹 사태로 '아이폰 18 프로' 회로도 다량 유출",IT
"로엔서지컬, 美 원격수술 플랫폼 ‘소바토’와 원격수술 통합 협력 MOU",IT
"""전통시장서 온누리상품권 쓰세요""…삼성전자, '감사 페스티벌' 통해 상생 혜택 확대",IT
"대만, 슈퍼마이크로 압수수색…엔비디아 AI칩 중국 밀반출 수사 확대",IT
"오텍캐리어, AI 데이터센터용 히트펌프 폐열 회수 시장 공략",IT
"[AI 리더스] 김득화 펀진 대표 ""국방 무기 경쟁력, 획득 속도가 관건""",IT
"프리윌린, 홍콩 교육박람회서 'AI 코스웨어' 전시·상담 진행",IT
"삼성전자, 전통시장서 감사 페스티벌 홍보…온누리상품권 혜택 알린다",IT
"미국 통신노동자조합 ""엑스박스 노조원 3500명 이상, MS 감원 맞서 싸울 것""",IT
"바이오니아 자회사 에이스바이옴, 롯데홈쇼핑과 MOU 체결",IT
"라이노스, 키논로보틱스와 대형 청소로봇 시장 공략",IT
"AI가 관리하는 내 일상…SKT, 에이닷 ‘AI 에이전트’ 기능 강화",IT
"KT, 2026 ESG보고서 발간…AI 신뢰·탄소중립 등 담아",IT
"카카오, 로앤컴퍼니·하나금융티아이 손잡고 법률 분야 전자문서 서비스 확대",IT
기조연설 경청하는 구윤철 부총리와 박홍근 장관,IT
"와치텍 ‘와치올 PMA’, 공공 예방점검자동화 솔루션 GS인증 1등급 획득",IT
"""참여만 해도 선물이""…KT, 통신 멤버십 수상 기념 이벤트 진행",IT
"KT멤버십, '국가서비스대상' 수상 기념 고객 참여형 이벤트 진행",IT
"KT멤버십, '국가서비스대상' 수상 기념 고객 참여형 이벤트 진행",IT
"진매트릭스, 호흡기 진단제품 CE-IVDR 등재 완료",IT
기조발표하는 임강섭 보건복지부 제약바이오산업과장,IT
바이오리더스클럽 발언하는 한성민 강스템바이오텍 재무팀장,IT
"KQC, 차세대 양자 AI 하이브리드 플랫폼 '큐비티어' 출시",IT
바이오리더 노하우 공유하는 바이오리더스클럽,IT
바이오 현장 발언하는 이성경 제이엔피메디 센터장,IT
"포털 줌, AI 검색에 독파모 'K-엑사원' 첫 상용 도입",IT
환영사하는 권남훈 산업연구원 원장,IT
"SKT, AI 영상 합성 기술로 세계적 컴퓨터 비전 학회서 인정",IT
환영사하는 권남훈 산업연구원 원장,IT
"콜로라도 의대 연구팀, 큐리언트 모카시클립으로 소아 뇌종양 치료 가능성 확인",IT
"BAT, 전 세계 인력 20% 줄인다",IT
"한컴위드, 무설치 웹 보안으로 공공·금융 공략…양자내성암호 적용",IT
축사하는 박홍근 장관,IT
"최수진 ""K-바이오 성장해법은 오픈이노베이션…투자·인력 선순환""",IT
축사하는 박홍근 장관,IT
축사하는 박홍근 장관,IT
축사하는 구윤철 부총리,IT
축사하는 구윤철 부총리,IT
축사하는 구윤철 부총리,IT
축사하는 구윤철 부총리,IT
축사하는 구윤철 부총리,IT
"박영선 위원장, 개회사 및 기조 발제",IT
"박영선 위원장, 개회사 및 기조 발제",IT
"박영선 위원장, 개회사 및 기조 발제",IT
"박영선 위원장, 개회사 및 기조 발제",IT
"박영선 위원장, 개회사 및 기조 발제",IT
"SKT, AI 영상 합성 기술로 세계적 컴퓨터 비전 학회서 인정",IT
"시흥시, 생성형 AI 통합민원 비서 'Ai흥온' 내달 서비스 개시",IT
"AI 전력수요 폭증…""SMR 경쟁력 확보하고 원전 AI 자율운전 준비해야""",IT
"“심전도 재며 유해가스까지 감지”…UNIST, 초저전력 ‘AI 스마트 패치’ 개발",IT
"[단독]SKT, '놀금'에도 'AI 모드' 대전환...'포커스 데이' 시동",IT
"ECB 총재 ""2022~2023년 같은 초강력 대응 필요없다""",IT
모바일 신분증 활용 해커톤에 318팀 몰려…전년比 51% 증가,IT
"삼성SDS, 성과급 개편 투표 연장…7월 7일 마감",IT
"SKT ""2035년까지 15GW AI데이터센터 순차 구축""",IT
"""타이레놀-자폐 연관성 근거 없다""…70만쌍 분석의 결론",IT
메모리값 3분기 최대 50% 더 뛴다…2028년 中 증설이 변수,IT
'최대 실적 무배당' 아이티센 강진모 회장 연봉은 직원 평균 17배,IT
"인핸스, 국군재정관리단과 협력…공사원가계산 AI 모델 도출",IT
“메모리 가격 2028년까지 안꺾여…3분기 50% 상승”-제퍼리스,IT
28회 바이오리더스클럽 축사하는 최수진 국민의힘 의원,IT
"강석연 식품의약품안전평가원장, 바이오리더스클럽 축사",IT
바이오리더스클럽 축사하는 최수진 의원,IT
"제28회 바이오리더스클럽, 이영섭 뉴스1 대표이사 인사말",IT
바이오리더스클럽 축사하는 강석연 식품의약품안전평가원장,IT
바이오리더스클럽 인사말하는 이영섭 뉴스1 대표,IT
대한민국 전략경제 포럼,IT
바이오리더스클럽 참석한 최수진 의원,IT
축사하는 강석연 식품의약품안전평가원장,IT
"기초연금 기준 충족했지만 못받는 노인 175만명…""신청주의에 발목""",IT
인사말하는 이영섭 뉴스1 대표이사,IT
